"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/04/2026","14.936,03","14.915,44","14.951,40","14.894,71","","0,11%"
"24/04/2026","14.918,88","14.843,84","14.931,53","14.822,13","","0,44%"
"23/04/2026","14.853,89","14.898,59","14.915,21","14.740,93","","-0,35%"
"22/04/2026","14.905,79","14.812,95","14.908,71","14.799,80","","0,59%"
"21/04/2026","14.818,29","14.925,12","14.956,65","14.789,03","","-0,70%"
"20/04/2026","14.923,40","14.944,31","14.957,96","14.874,70","","-0,31%"
"17/04/2026","14.969,18","14.789,55","14.997,17","14.774,68","","1,20%"
"16/04/2026","14.792,40","14.774,64","14.815,76","14.748,08","","0,17%"
"15/04/2026","14.766,82","14.688,36","14.773,14","14.675,07","","0,54%"
"14/04/2026","14.688,19","14.516,10","14.688,19","14.514,07","","1,33%"
"13/04/2026","14.495,06","14.374,42","14.508,63","14.326,42","","0,67%"
"10/04/2026","14.398,75","14.388,81","14.454,56","14.380,08","","0,09%"
"09/04/2026","14.385,81","14.333,38","14.414,69","14.281,69","","0,28%"
"08/04/2026","14.345,41","13.972,94","14.365,69","13.972,94","","3,02%"
"07/04/2026","13.924,86","13.934,76","13.960,49","13.791,17","","-0,03%"
"06/04/2026","13.929,64","13.873,57","13.936,05","13.873,57","","0,32%"
"03/04/2026","13.885,85","13.879,84","13.888,15","13.877,20","","0,06%"
"02/04/2026","13.877,88","13.899,43","13.908,77","13.672,90","","-0,18%"
"01/04/2026","13.903,18","13.721,07","13.958,52","13.720,28","","1,50%"
"31/03/2026","13.698,19","13.386,12","13.723,32","13.371,11","","2,28%"
"30/03/2026","13.392,92","13.430,33","13.520,99","13.347,52","","-0,27%"
"29/03/2026","13.428,57","13.430,33","13.431,04","13.427,22","","-0,10%"
"27/03/2026","13.441,58","13.631,59","13.638,62","13.417,48","","-1,42%"
"26/03/2026","13.634,61","13.851,27","13.857,36","13.622,96","","-1,58%"
"25/03/2026","13.853,89","13.749,45","13.923,74","13.746,67","","0,85%"
"24/03/2026","13.736,65","13.764,09","13.804,59","13.659,03","","-0,11%"
"23/03/2026","13.752,22","13.637,44","13.909,07","13.534,46","","0,82%"
"22/03/2026","13.640,57","13.637,44","13.641,20","13.637,44","","0,00%"
"20/03/2026","13.640,28","13.857,49","13.876,87","13.588,74","","-1,46%"
"19/03/2026","13.842,19","13.931,38","13.935,16","13.751,08","","-0,79%"
"18/03/2026","13.951,73","14.107,15","14.143,55","13.935,18","","-1,04%"
"17/03/2026","14.098,97","14.046,39","14.170,60","14.038,32","","0,41%"
